180305-15:30:47 login login successful 
180305-15:30:47 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:48 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:48 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:48 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:48 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:48 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:48 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:49 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:49 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:49 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:49 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:49 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:49 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:49 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:49 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:49 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:49 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:50 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:50 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:50 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:50 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:50 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:50 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:50 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:50 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:50 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:50 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:51 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:51 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:51 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:51 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:51 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:51 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:52 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:52 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:52 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:52 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:52 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:52 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:53 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:53 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:53 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:54 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:54 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:54 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:54 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:54 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:54 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:54 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:54 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:54 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:54 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:55 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:55 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:55 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:55 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:55 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:55 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:55 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:55 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:55 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:55 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:56 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:56 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:56 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:57 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:57 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:57 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:57 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:57 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:57 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:58 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:58 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:58 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:58 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:58 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:58 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:59 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:59 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:59 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:59 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:30:59 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:30:59 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.32.119', 80) 
180305-15:31:00 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
180305-15:31:00 direct_request ori:(u'0.0.0.0', 0), dest:(u'152.195.14.112', 80) 
